step,euler,symplectic-euler,midpoint,backwards-euler,analytic
0.0001,2.14176,2.14169,2.14169,2.14162,2
0.0002,2.14183,2.14168,2.14169,2.14155,2
0.0004,2.14197,2.14167,2.14169,2.14141,2
0.0008,2.14226,2.14165,2.14169,2.14113,2
0.0016,2.14284,2.14162,2.14169,2.14058,2.00001
0.0032,2.14402,2.14154,2.14168,2.13949,2.00005
0.0064,2.14649,2.14141,2.14164,2.13743,2.0002
0.0128,2.15194,2.14111,2.1415,2.13367,2.00079
0.0256,2.16469,2.14079,2.14087,2.12741,2.00307
0.0512,3.25774,2.14033,2.14088,2.11877,2.01158
